order_number,booked_at,click_id,state,price_amount,price_currency,profit_amount,profit_currency
40823663,2025-09-03T06:57:24.211Z,3165030708609571488,cancelled,28733,rub,718.33,rub
40827078,2025-09-03T19:41:29.612Z,3165416156421666240,cancelled,2613,rub,65.33,rub
40824052,2025-09-03T08:35:45.673Z,3165079756030381184,paid,229624,rub,10333.08,rub
40824902,2025-09-03T11:40:18.029Z,3165173357574883360,paid,2285,rub,102.83,rub
40827278,2025-09-03T20:48:05.687Z,3165448455936069344,paid,27587,rub,689.68,rub
40826969,2025-09-03T19:09:37.325Z,3165396151412128256,cancelled,9975,rub,249.38,rub
40823860,2025-09-03T07:52:15.159Z,3165058790177971936,paid,13151,rub,591.79,rub
40823614,2025-09-03T06:44:26.499Z,3165024235549781952,cancelled,48648,rub,1216.2,rub
40824830,2025-09-03T11:21:42.944Z,3165163225119590208,cancelled,19671,rub,491.78,rub
40825965,2025-09-03T15:48:28.504Z,3165293463351236864,paid,117874,rub,5304.33,rub
40826170,2025-09-03T16:30:43.495Z,3165318699336344128,paid,13645,rub,341.12,rub
40826376,2025-09-03T17:16:38.351Z,3165342163689560800,cancelled,9077,rub,226.93,rub
40825868,2025-09-03T15:21:26.434Z,3165282916488691072,paid,157364,rub,7081.38,rub
40825968,2025-09-03T15:49:39.649Z,3165295849139792896,paid,48615,rub,1215.38,rub
40824295,2025-09-03T09:20:09.514Z,3165102436197479040,paid,63810,rub,2871.45,rub
40823933,2025-09-03T08:05:53.362Z,3165063622921958016,paid,16860,rub,421.5,rub
40825782,2025-09-03T14:59:04.397Z,3165273296332373376,paid,17232,rub,430.8,rub
40823168,2025-09-03T03:43:30.083Z,3164931929143299744,paid,14640,rub,658.8,rub
40824639,2025-09-03T10:39:43.979Z,3165141484572062400,cancelled,8152,rub,0,rub
40825285,2025-09-03T13:07:16.028Z,3165213556338067488,paid,15804,rub,395.1,rub
40823444,2025-09-03T05:51:04.119Z,3164996936049124768,paid,22546,rub,563.65,rub
40824722,2025-09-03T10:57:05.011Z,3165151243922915488,cancelled,3797,rub,0,rub
40825555,2025-09-03T14:06:44.546Z,3165244707302436800,paid,96726,rub,4352.67,rub
40827217,2025-09-03T20:21:57.431Z,3165434846946911808,cancelled,7718,rub,192.95,rub
40827353,2025-09-03T21:23:26.389Z,3165467585416375456,cancelled,5316,rub,132.9,rub
40823887,2025-09-03T07:59:05.407Z,3165061556061221504,paid,8956,rub,223.9,rub
40826764,2025-09-03T18:30:28.324Z,3165380509630917632,cancelled,14684,rub,367.1,rub
40825540,2025-09-03T14:04:40.499Z,3165246010497405504,cancelled,21298,rub,532.45,rub
40824534,2025-09-03T10:16:17.932Z,3165129047336694400,paid,15720,rub,393,rub
40826922,2025-09-03T18:58:12.205Z,3165392660982590464,cancelled,60670,rub,0,rub
40826612,2025-09-03T18:02:47.981Z,3165365547129479392,paid,32180,rub,1287.2,rub
40827127,2025-09-03T19:53:16.594Z,3165421190097513632,cancelled,6434,rub,160.85,rub
40826301,2025-09-03T17:00:46.515Z,3165334573654266016,cancelled,6340,rub,0,rub
40824179,2025-09-03T08:58:29.670Z,3165091583261670656,paid,29876,rub,1344.42,rub
40827321,2025-09-03T21:06:51.432Z,3165457070357603904,paid,21951,rub,548.77,rub
40827512,2025-09-03T23:23:30.282Z,3165527821429368352,paid,17535,rub,789.07,rub
