Номера заказа,,Дата сделки,Вид операции,Вид возврата / обмена,Лид,АК,Тип,Классификация направлений,Price,CPA,"CPA, руб."
40868062,12-09-2025,SALE,,d1,JU,Регулярка,OW,"33,650.00",0.045,"1,514.25",
40859913,11-09-2025,SALE,,d1,3F,Регулярка,RT,"37,639.00",0.025,940.98,
40846337,08-09-2025,SALE,,d1,PC,Регулярка,OW,"24,252.00",0.045,"1,091.34",
40846337,08-09-2025,SALE,,d1,PC,Регулярка,OW,"24,252.00",0.045,"1,091.34",
40863240,11-09-2025,SALE,,d1,FR,Регулярка,OW,"24,277.00",0.045,"1,092.47",
40859077,11-09-2025,SALE,,d1,MU,Регулярка,OW,"52,101.00",0.045,"2,344.55",
40871027,13-09-2025,SALE,,d1,TP,Регулярка,OW,"25,286.00",0.045,"1,137.87",
40866693,12-09-2025,SALE,,d1,ТК,Регулярка,OW,"25,205.00",0.045,"1,134.23",
40836238,06-09-2025,SALE,,d1,C6,Чартер,OW,"18,020.00",0.045,810.90,
40836238,06-09-2025,SALE,,d1,C6,Чартер,OW,"18,020.00",0.045,810.90,
40836238,06-09-2025,SALE,,d1,C6,Чартер,OW,"18,020.00",0.045,810.90,
40836238,06-09-2025,SALE,,d1,C6,Чартер,OW,"18,020.00",0.045,810.90,
40863903,12-09-2025,SALE,,d1,PC,Регулярка,RT,"28,506.00",0.045,"1,282.77",
40844990,08-09-2025,SALE,,d1,MU,Регулярка,OW,"56,094.00",0.045,"2,524.23",
40844990,08-09-2025,SALE,,d1,MU,Регулярка,OW,"56,094.00",0.045,"2,524.23",
40864551,12-09-2025,SALE,,d1,VJ,Регулярка,OW,"7,274.00",0.045,327.33,
